clf__max_depth,clf__min_samples_leaf,clf__n_estimators,accuracy,precision,recall,f1,auc
,1,100,0.8259572970382006,0.7034169242125146,0.4362590593970423,0.5385188509678407,0.6972600039542189
,1,200,0.8266289669744094,0.7038989930062739,0.44050076747775846,0.5418841942843933,0.698037404585157
,2,100,0.826837186781766,0.702553256427778,0.4441364899063167,0.5442207195899554,0.696612042807023
,2,200,0.8271595875481145,0.7026873544664525,0.4463294898531173,0.5459046507572017,0.6966638173579355
,4,100,0.8276230379025374,0.7028429836391951,0.4495323701446532,0.5483410589133081,0.6990568136212542
,4,200,0.8277170708860636,0.7027914188329023,0.4503114618476095,0.5489055876421322,0.6988035142489804
10.0,1,100,0.8278648388720476,0.7026677451486554,0.45160994246893144,0.5498308532277625,0.697889078875632
10.0,1,200,0.8278648404510426,0.7025575166352407,0.45178306933325063,0.5499253648348789,0.6979360867403956
10.0,2,100,0.8278849902310741,0.7026520106247434,0.4517830693332505,0.5499544677349035,0.6979672421132765
10.0,2,200,0.8278849904566448,0.7025977809299333,0.4518696369281142,0.550001913384677,0.6975313984574415
10.0,4,100,0.8278715574955277,0.7026071824471789,0.4517542093055919,0.5499191514867932,0.6974093237961213
10.0,4,200,0.8278782736377301,0.7025476750415149,0.45189848446766057,0.550007598705465,0.697370058041457
20.0,1,100,0.8270991384335904,0.7027968676535663,0.4456946150343718,0.545461730583786,0.6972806436900788
20.0,1,200,0.8273275030584231,0.7028325976050513,0.44733936603514834,0.5467035700127176,0.6969569277853347
20.0,2,100,0.8274349710332025,0.7026645537443514,0.4484070122249462,0.547449286447982,0.6973226752999586
20.0,2,200,0.8276096058437034,0.7029066777405799,0.449330404066196,0.5482120361683527,0.6976505745814962
20.0,4,100,0.827723790862968,0.7026414124569162,0.45060001217174683,0.5490740569150452,0.6975049519580827
20.0,4,200,0.8277976731641796,0.7027331212116061,0.45100398595570235,0.5494019379186794,0.6978897383523319
