clf__activation,clf__alpha,clf__hidden_layer_sizes,clf__learning_rate_init,accuracy,precision,recall,f1,auc
relu,0.0001,"(50,)",0.001,0.8273879562332196,0.7024989620705762,0.4482915179991579,0.5473098280706441,0.6964304554849154
relu,0.0001,"(50,)",0.01,0.826702855591601,0.7008413168595059,0.44586795419660097,0.5449988081455558,0.6958685614201858
relu,0.0001,"(100,)",0.001,0.8257893966411295,0.7016818707348608,0.4375286466890726,0.5389474210034365,0.6970976779070471
relu,0.0001,"(100,)",0.01,0.8270051063523471,0.7017458772842546,0.4466759142526243,0.5458777600826442,0.6964248856999615
relu,0.0001,"(100, 50)",0.001,0.8046989969159432,0.6320486483468396,0.3857050908955583,0.47893330303489473,0.6904095481007906
relu,0.0001,"(100, 50)",0.01,0.8271394361890879,0.7003056731059234,0.44996521644437965,0.5478844854529166,0.6979165850048309
relu,0.001,"(50,)",0.001,0.8275961740104398,0.7025436067921721,0.449792035464907,0.5484405956080622,0.6966331152484411
relu,0.001,"(50,)",0.01,0.8272603389295501,0.7022778656818421,0.4477434313985945,0.5468337535411271,0.6963402902452518
relu,0.001,"(100,)",0.001,0.8260513422025451,0.7017823756439616,0.43934638302222806,0.540351997168853,0.6971325460443648
relu,0.001,"(100,)",0.01,0.8270857052469027,0.7028024597689978,0.44566598811814384,0.5454199059583387,0.6981942475952511
relu,0.001,"(100, 50)",0.001,0.8069155002390417,0.6400212218192074,0.39009143629360155,0.48463447917611957,0.6878128898554249
relu,0.001,"(100, 50)",0.01,0.8275894567403839,0.7008178486340376,0.4525333093339565,0.5499422202955417,0.6973927501588041
tanh,0.0001,"(50,)",0.001,0.8271327198213149,0.7026378960151389,0.44618506899640453,0.5457752063520627,0.6987730291776679
tanh,0.0001,"(50,)",0.01,0.8262393989211981,0.7024915677671183,0.43972159252071963,0.5408696032262383,0.6966230922105197
tanh,0.0001,"(100,)",0.001,0.8261184925716047,0.7021246444921511,0.4394618897361287,0.5405459963035597,0.6959985913459634
tanh,0.0001,"(100,)",0.01,0.8221019185474285,0.6987940669864388,0.4143875542473194,0.5200794535894228,0.6967699557439746
tanh,0.0001,"(100, 50)",0.001,0.7872826578877195,0.566040637968564,0.3705850547433056,0.44785023904940047,0.6735084528007242
tanh,0.0001,"(100, 50)",0.01,0.827582736312338,0.7025160794012354,0.44973429459606906,0.548383505661578,0.6994338366440728
tanh,0.001,"(50,)",0.001,0.8274416907845362,0.702773751863109,0.44826269543583636,0.5473748814926587,0.6989291072015802
tanh,0.001,"(50,)",0.01,0.8278178227186406,0.7025142906918453,0.4514944981955926,0.5496980352401388,0.6984899987312978
tanh,0.001,"(100,)",0.001,0.8271058548013637,0.7028665754771498,0.44563691995527926,0.5454307522049207,0.6973059429049776
tanh,0.001,"(100,)",0.01,0.8277305067795997,0.7025158572187846,0.45085971495633786,0.5492260252230208,0.6967850751543241
tanh,0.001,"(100, 50)",0.001,0.7910775394429779,0.5803996277460872,0.3705853211563693,0.4522632987775377,0.6758038934025581
tanh,0.001,"(100, 50)",0.01,0.8275222946416474,0.7029025105367659,0.44860891170013745,0.5476517619982493,0.6977869764230169
